timestamp,day_of_week,hour_of_day,is_weekend,requests_per_second,is_spike,baseline_active_instances,cpu_utilization_pct,response_time_ms,required_instances
2026-01-01 00:00:00,3,0,0,157.8,0,8,7.9,43.9,2
2026-01-01 00:05:00,3,0,0,148.3,0,8,7.4,43.7,2
2026-01-01 00:10:00,3,0,0,160.1,0,8,8.0,44.0,2
2026-01-01 00:15:00,3,0,0,173.2,0,8,8.7,44.3,2
2026-01-01 00:20:00,3,0,0,146.9,0,8,7.3,43.7,2
2026-01-01 00:25:00,3,0,0,146.9,0,8,7.3,43.7,2
2026-01-01 00:30:00,3,0,0,174.2,0,8,8.7,44.4,2
2026-01-01 00:35:00,3,0,0,162.0,0,8,8.1,44.0,2
2026-01-01 00:40:00,3,0,0,143.5,0,8,7.2,43.6,2
2026-01-01 00:45:00,3,0,0,158.8,0,8,7.9,44.0,2
2026-01-01 00:50:00,3,0,0,143.7,0,8,7.2,43.6,2
2026-01-01 00:55:00,3,0,0,143.7,0,8,7.2,43.6,2
2026-01-01 01:00:00,3,1,0,154.4,0,8,7.7,43.9,2
2026-01-01 01:05:00,3,1,0,122.1,0,8,6.1,43.1,2
2026-01-01 01:10:00,3,1,0,125.0,0,8,6.2,43.1,2
2026-01-01 01:15:00,3,1,0,142.5,0,8,7.1,43.6,2
2026-01-01 01:20:00,3,1,0,135.8,0,8,6.8,43.4,2
2026-01-01 01:25:00,3,1,0,155.8,0,8,7.8,43.9,2
2026-01-01 01:30:00,3,1,0,137.6,0,8,6.9,43.4,2
2026-01-01 01:35:00,3,1,0,130.1,0,8,6.5,43.3,2
2026-01-01 01:40:00,3,1,0,173.3,0,8,8.7,44.3,2
2026-01-01 01:45:00,3,1,0,148.1,0,8,7.4,43.7,2
2026-01-01 01:50:00,3,1,0,152.6,0,8,7.6,43.8,2
2026-01-01 01:55:00,3,1,0,130.3,0,8,6.5,43.3,2
2026-01-01 02:00:00,3,2,0,143.6,0,8,7.2,43.6,2
2026-01-01 02:05:00,3,2,0,153.6,0,8,7.7,43.8,2
2026-01-01 02:10:00,3,2,0,134.8,0,8,6.7,43.4,2
2026-01-01 02:15:00,3,2,0,157.8,0,8,7.9,43.9,2
2026-01-01 02:20:00,3,2,0,143.3,0,8,7.2,43.6,2
2026-01-01 02:25:00,3,2,0,148.1,0,8,7.4,43.7,2
2026-01-01 02:30:00,3,2,0,143.6,0,8,7.2,43.6,2
2026-01-01 02:35:00,3,2,0,180.6,0,8,9.0,44.5,2
2026-01-01 02:40:00,3,2,0,152.8,0,8,7.6,43.8,2
2026-01-01 02:45:00,3,2,0,137.4,0,8,6.9,43.4,2
2026-01-01 02:50:00,3,2,0,165.8,0,8,8.3,44.1,2
2026-01-01 02:55:00,3,2,0,135.3,0,8,6.8,43.4,2
2026-01-01 03:00:00,3,3,0,157.0,0,8,7.8,43.9,2
2026-01-01 03:05:00,3,3,0,124.7,0,8,6.2,43.1,2
2026-01-01 03:10:00,3,3,0,134.5,0,8,6.7,43.4,2
2026-01-01 03:15:00,3,3,0,157.6,0,8,7.9,43.9,2
2026-01-01 03:20:00,3,3,0,166.1,0,8,8.3,44.2,2
2026-01-01 03:25:00,3,3,0,157.9,0,8,7.9,43.9,2
2026-01-01 03:30:00,3,3,0,153.9,0,8,7.7,43.8,2
